,organization_name,street_address,city,state,postcode,year_surveyed,total_volunteers,youth_volunteers,adult_volunteers,older_adult_volunteers,organization_type,interest_areas,special_populations_served,boroughs_served,advocacy and organizing,animals,arts and culture,children and youth related,civic engagement (voting voter registration),education and literacy,emergency management and disaster response,employment and workforce development,environment and sustainability,faith-based,health and medicine,homeless and shelter,human rights,human services,immigrants and/or refugees,justice-related,legal services,lgbtqia+,people with disabilities,senior services,women's issues,organization_type_,organization_type_article 28- nursing home facility,organization_type_arts organization,organization_type_cat rescue and adoption,organization_type_charity,organization_type_city agency,organization_type_coalition of cbos /fbo,organization_type_college and/or university,organization_type_community center,organization_type_community garden,organization_type_community-based organization,organization_type_community/ public foundation,organization_type_cultural center & botanical garden,organization_type_cultural institution,organization_type_cultural/museum,organization_type_education,organization_type_faith-based institution,organization_type_federally mandated advocacy program,organization_type_federally qualified health center,organization_type_film festival,organization_type_foster care agency,organization_type_foundation,organization_type_health care organization,organization_type_home health & hospice care,organization_type_hospital,organization_type_human services,organization_type_k-12 private school,organization_type_legal services,organization_type_legal services organization,organization_type_literacy and theater,organization_type_membership organization,organization_type_museum,organization_type_museum/botanical garden,organization_type_music school,organization_type_ngo,organization_type_non profit,organization_type_nursing facility,organization_type_nursing home,organization_type_nursing home & rehab,organization_type_nyc mayor's office,organization_type_park conservancy,organization_type_parks and public spaces,organization_type_private / public partnership,organization_type_private agency,organization_type_public library,organization_type_public park,organization_type_public-private partnership,organization_type_public/ private partnership,organization_type_quality of life issues,organization_type_senior center,organization_type_senior citizens center,organization_type_senior services,organization_type_social emotional learning,organization_type_social service agency,organization_type_theatre company,organization_type_volunteer-led group,organization_type_zoo,All Boroughs,BK,BX,MN,QN,SI
416,Reading Partners,"499 7th Ave, 20th Flr, North Tower",New York,NY,10018.0,2019.0,1548.0,322.0,918.0,308.0,Community-based organization,Education and literacy,"Low-income populations, Older adults (60 or older), Youth (17 or under)",BX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
417,"Reality House, Inc.",8-13 Astoria Blvd,Astoria,NY,11102.0,2019.0,6.0,0.0,4.0,2.0,Community-based organization,"Health and medicine, Behavioral Health / Substance Abuse","Justice-involved individuals, LGBTQIA+, Low-income populations, Military/ veteran families, People with disabilities, Women",All Boroughs,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
418,Rebekah Rehab & Extended Care Center,1070 Havemeyer Ave,The Bronx,NY,10462.0,2019.0,12.0,0.0,10.0,2.0,Nursing Home & Rehab,"Health and medicine, People with disabilities, Senior Services","Older adults (60 or older), People with disabilities, Work Study Programs",BX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
419,Rebuilding Together NYC,"126 10th Street, A",Brooklyn,NY,11215.0,2019.0,600.0,0.0,0.0,0.0,Community-based organization,"Emergency management and disaster response, Employment and workforce development, Environment and sustainability, Homeless and shelter, People with disabilities, Senior Services","Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities",All Boroughs,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
420,"Regional Aid for Interim Needs, Inc.",3450 Boston Road,The Bronx,NY,10467.0,2019.0,98.0,0.0,75.0,23.0,"Community-based organization, Non-Profit",Senior Services,"Older adults (60 or older), People with disabilities",BX,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
421,Rego Park Senior Center,"93-29 Queens blvd, bsm",Rego Park,NY,11374.0,2019.0,55.0,4.0,6.0,45.0,Community-based organization,"Arts and culture, Education and literacy, Human services, Senior Services",Older adults (60 or older),QN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
422,Repair the World NYC,808 Nostrand Avenue,Brooklyn,NY,11216.0,2019.0,5197.0,839.0,1099.0,42.0,Community-based organization,"Advocacy and organizing, Civic engagement (voting voter registration), Emergency management and disaster response, Homeless and shelter, Human rights, Human services, Justice-related, Senior Services","Immigrants and/or refugees, Justice-involved individuals, Low-income populations, Older adults (60 or older), Youth (17 or under)",BX,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
423,Rescuing Leftover Cuisine,25 Broadway,New York,NY,10004.0,2019.0,8000.0,0.0,0.0,0.0,Community-based organization,Food waste and hunger,"Homeless, Low-income populations",MN,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
424,Retired and Senior Volunteer Program (RSVP) of the Community Service Society of New York,633 Third Avenue,New York,NY,10017.0,2019.0,2300.0,0.0,500.0,1800.0,Private Nonprofit,"Advocacy and organizing, Education and literacy, Employment and workforce development, Health and medicine, Human services, Justice-related, Volunteer Mobilization","Justice-involved individuals, Low-income populations, Older adults (60 or older)",All Boroughs,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
425,RIseBoro Community Partnership,565 Bushwick Ave,Brooklyn,NY,11206.0,2019.0,152.0,124.0,28.0,0.0,Community-based organization,"Advocacy and organizing, Children and youth related, Education and literacy, Employment and workforce development, Environment and sustainability, Health and medicine, Homeless and shelter, Human services, Immigrants and/or refugees, Legal services, Senior Services, Women's issues","Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)",BK,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
426,Riverside Park Conservancy,"475 Riverside Drive, Suite 455",New York,NY,10115.0,2019.0,6000.0,0.0,0.0,0.0,Community-based organization,"Advocacy and organizing, Environment and sustainability",Low-income populations,MN,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
427,Rockaway Initiative for Sustainability and Equity (formerly Rockaway Waterfront Alliance),58-03 Rockaway Beach Blvd,Queens,NY,11692.0,2019.0,500.0,200.0,300.0,0.0,Community-based organization,"Children and youth related, Environment and sustainability","Low-income populations, Youth (17 or under)",QN,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
428,RSS - Riverdale Senior Services,2600 Netherland Ave.,The Bronx,NY,10463.0,2019.0,122.0,11.0,9.0,101.0,Senior Services,"Advocacy and organizing, Arts and culture, Emergency management and disaster response, Health and medicine, Senior Services, Women's issues",Older adults (60 or older),BX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
429,Safe Families For Children,PO BOX 380439,Brooklyn,NY,11238.0,2019.0,88.0,0.0,83.0,5.0,Community-based organization,"Children and youth related, Faith-based, Homeless and shelter, Immigrants and/or refugees, Strengthening isolated families","Immigrants and/or refugees, Low-income populations, Women, Youth (17 or under), families",All Boroughs,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
430,Safe Horizon,"2 Lafayette Street, 3rd Floor",New York,NY,10007.0,2019.0,112.0,2.0,110.0,0.0,Community-based organization,"Immigrants and/or refugees, Justice-related, LGBTQIA+, Legal services, Women's issues, Victim Services",Any victim of crime and abuse,All Boroughs,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
431,Safe Passage Project,185 W Broadway,New York,NY,10013.0,2019.0,495.0,0.0,0.0,0.0,Legal services,"Children and youth related, Human rights, Human services, Immigrants and/or refugees, Justice-related, Legal services","Immigrants and/or refugees, Unaccompanied minors ages 21 or under",All Boroughs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
432,SAGE,"305 Seventh Avenue, 15th fl",New York,NY,10001.0,2019.0,1270.0,0.0,0.0,0.0,Community-based organization,"Advocacy and organizing, LGBTQIA+, Senior Services","LGBTQIA+, Older adults (60 or older)",All Boroughs,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
433,SAGE - Advocacy and Services for LBGT Elders,"305 7th Avenue, 15th Floor",New York,NY,10001.0,2019.0,1020.0,8.0,892.0,120.0,Community-based organization,"LGBTQIA+, Senior Services","LGBTQIA+, Older adults (60 or older)",BX,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
434,Samuel Field YM - YWHA dba Commonpoint Queens,58-20 Little Neck Parkway,Little Neck,NY,11362.0,2019.0,636.0,0.0,0.0,0.0,Community-based organization,"Arts and culture, Children and youth related, Education and literacy, Employment and workforce development, Human services, Legal services, People with disabilities, Senior Services","Immigrants and/or refugees, Justice-involved individuals, Low-income populations, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)",QN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
435,SCAN - Harbor,345 East 102nd Street,New York,NY,10029.0,2019.0,340.0,0.0,300.0,40.0,Community-based organization,"Advocacy and organizing, Arts and culture, Children and youth related, Civic engagement (voting voter registration), Education and literacy, Employment and workforce development, Human services, Immigrants and/or refugees, LGBTQIA+","Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Women, Youth (17 or under)",BX,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
436,SCORE - Staten Island,950 W. Fingerboard Rd.,Staten Island,NY,10305.0,2019.0,20.0,0.0,5.0,15.0,Community-based organization,Small Business Development,"Low-income populations, aspiring entrepreneurs",SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
437,Seamens Society for Children and Families,50 Bay street,Staten Island,NY,10301.0,2019.0,10.0,0.0,0.0,0.0,Community-based organization,Children and youth related,"Immigrants and/or refugees, LGBTQIA+, Low-income populations, People with disabilities, Women, Youth (17 or under)",SI,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
438,Search and Care,1844 Second Avenue,New York,NY,10128.0,2019.0,177.0,14.0,61.0,102.0,Community-based organization,Senior Services,Older adults (60 or older),MN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
439,Selfhelp Austin Street Senior Center,106-06 Queens Blvd.,Forest Hills,NY,11375.0,2019.0,96.0,5.0,1.0,96.0,Community-based organization,"Advocacy and organizing, Arts and culture, Education and literacy, Senior Services","Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities",QN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
440,Selfhelp Big Six Towers NORC Program,"59-55 47th Avenue, 2G",Woodside,NY,11377.0,2019.0,13.0,0.0,0.0,13.0,Community-based organization,Senior Services,Older adults (60 or older),QN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
441,Selfhelp Community Services -  Virtual Senior Center,138-52 Elder Avenue,Flushing,NY,11355.0,2019.0,239.0,0.0,170.0,69.0,Community-based organization,Senior Services,"Homeless, Immigrants and/or refugees, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women",BX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
442,"Selfhelp Community Services, Inc. - Holocaust Survivor Program","520 8th Avenue, 5th Floor",New York,NY,10018.0,2019.0,491.0,0.0,0.0,0.0,Community-based organization,"Senior Services, Holocaust Survivors","Older adults (60 or older), Holocaust survivors",BX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
